PG.ProteinGroups,median_positive_abundance,missing_pct
A0A024R1R8;Q9Y2S6,344.288818359375,45.08670520231214
A0A075B6H9,1541.9679565429685,2.119460500963391
A0A075B6I0,4799.939453125,9.633911368015415
A0A075B6I1,455.19093322753906,43.73795761078998
A0A075B6I4,671.9632568359375,29.47976878612717
A0A075B6I9,954.6311645507812,48.16955684007707
A0A075B6J1,288.9317626953125,78.42003853564547
A0A075B6J9,572.7840270996094,7.514450867052023
A0A075B6K2,572.9373168945312,79.96146435452793
A0A075B6K4,932.5996704101562,9.05587668593449
A0A075B6K5,1093.6669921875,0.0
A0A075B6K6,145.916259765625,79.76878612716763
A0A075B6P5;P01615,825.8330993652344,1.348747591522158
A0A075B6Q5,462.81849670410156,51.05973025048169
A0A075B6R2,661.8807373046875,36.41618497109826
A0A075B6R9;A0A0C4DH68,246.50193023681635,23.314065510597302
A0A075B6S2,770.9744262695312,69.7495183044316
A0A075B6S5,179.3088073730469,65.1252408477842
A0A075B6S6,173.17848205566406,89.59537572254335
A0A075B6S9;P0DSN7,86.73488998413086,83.42967244701349
A0A087WSX0,5827.63720703125,0.7707129094412332
A0A087WSY4,551.3682861328125,32.75529865125241
A0A087WSY6,4067.3604736328125,25.240847784200387
A0A087WSZ0,127.1851577758789,87.09055876685935
A0A087WW87;P01614,152.0060424804688,70.90558766859345
A0A0A0MRZ8;P04433,3910.55517578125,0.7707129094412332
A0A0A0MRZ9,81.84307861328125,83.23699421965318
A0A0A0MS00,477.29469299316406,98.84393063583815
A0A0A0MS15,1668.126647949219,0.5780346820809248
A0A0A0MT36,88.86167907714844,66.28131021194605
A0A0A0MT89,421.0233154296875,60.886319845857415
A0A0B4J1U3,404.7967987060547,47.97687861271676
A0A0B4J1U7,2175.2806396484375,2.8901734104046244
A0A0B4J1V0,914.98583984375,3.0828516377649327
A0A0B4J1V2,415.677734375,30.057803468208093
A0A0B4J1V6,395.7475891113281,32.5626204238921
A0A0B4J1X5,5197.267578125,0.7707129094412332
A0A0B4J1Y8,483.9412841796875,10.211946050096339
A0A0B4J1Y9,4165.5517578125,0.0
A0A0B4J2D9;P0DP09,159.34642028808594,76.878612716763
A0A0C4DH24,79.8470458984375,82.46628131021194
A0A0C4DH25,1293.9560546875,6.165703275529865
A0A0C4DH29,215.0198211669922,49.71098265895954
A0A0C4DH31,220.2214813232422,28.709055876685934
A0A0C4DH33,159.22206115722656,57.61078998073218
A0A0C4DH34,590.2020263671875,7.7071290944123305
A0A0C4DH35,133.1511611938477,72.63969171483622
A0A0C4DH36,613.3133544921875,23.314065510597302
A0A0C4DH38,627.8651123046875,6.358381502890173
A0A0C4DH39,112.5984802246094,98.45857418111753
A0A0C4DH43,675.5386047363281,9.441233140655106
A0A0C4DH67,303.7764892578125,10.404624277456648
A0A0G2JS06,1345.756591796875,11.175337186897881
A0A0J9YVY3,271.8957977294922,76.878612716763
A0A0J9YWL9,58.335853576660156,90.7514450867052
A0A0J9YX35,1253.4588012695315,7.89980732177264
A0A0J9YXX1,1228.995666503906,23.314065510597302
A0A1B0GTC6,3282.88720703125,0.0
A0A494C071,109.50883865356445,87.28323699421965
A0AV96,158.8085632324219,87.86127167630057
A0AVT1,59.66591262817383,73.60308285163777
A0FGR8,68.91469192504883,55.68400770712909
A0M8Q6,44350.037109375,1.7341040462427744
A0PJW8,902.250244140625,40.07707129094412
A1A4S6,95.97732543945312,84.00770712909441
A1L4H1,2884.80224609375,0.0
A1X283;Q5TCZ1,65.20887756347656,95.95375722543352
A2A2Y4,21.17115306854248,97.6878612716763
A2A3L6,2357.640380859375,14.258188824662813
A2CJ06,753.6998291015625,12.138728323699421
A2NJV5,2258.7783203125,0.0
A2PYH4,344.1705322265625,92.10019267822736
A2RRP1,29.69328308105469,89.40269749518305
A2RUS2,95.6480941772461,71.29094412331408
A4D1P6,102.04591369628905,57.22543352601156
A6NDG6,171.5045928955078,9.633911368015415
A6NDU8,47.31383895874024,75.52986512524085
A6NH11,94.40054321289062,41.811175337186896
A6NHL2,110.5345230102539,97.88053949903662
A6NL88,881.6470947265625,4.238921001926782
A6NM11;A6NMS7,174.4812927246094,10.01926782273603
A6NML5,793.121337890625,27.167630057803464
A6QL63,28.85188865661621,94.99036608863199
A8CG34;Q96HA1,231.5159301757812,72.0616570327553
A8K0Z3;A8MWX3;C4AMC7;Q6VEQ5;Q9NQA3,47.39170074462891,92.8709055876686
A8K2U0,57.9673957824707,37.76493256262042
A8MYB1,4467.819091796875,8.670520231213873
B0I1T2,170.0585174560547,2.119460500963391
B2RUZ4,435.8445281982422,13.294797687861271
B5ME19;Q99613,115.31389236450195,88.82466281310212
E9PAV3,179.57559204101565,19.460500963391137
L0R6Q1,35.652366638183594,96.53179190751445
O00116,83.80901336669922,87.09055876685935
O00139,82.64287567138672,45.08670520231214
O00148,68.06175231933594,65.51059730250482
O00151,577.38427734375,5.394990366088632
O00154,200.69163513183594,41.040462427745666
O00159,83.27132415771484,28.901734104046245
O00160,64.28094482421875,43.15992292870906
O00161,145.6098937988281,23.121387283236995
O00170,119.045295715332,85.16377649325626
O00175,87.02555465698242,83.04431599229287
O00186,114.2050819396973,15.221579961464354
O00187,76414.6015625,0.0
O00194,483.5696716308594,7.89980732177264
O00203,72.70508575439453,44.3159922928709
O00204,96.7793006896973,87.28323699421965
O00231,130.39537048339844,7.89980732177264
O00232,157.4667053222656,14.258188824662813
O00233,174.3513641357422,25.818882466281313
O00241,194.9423217773437,84.39306358381504
O00244,94.91590118408205,84.00770712909441
O00253,268.894832611084,99.61464354527938
O00264,280.2018432617188,9.633911368015415
O00292;O75610,64.91004943847656,86.1271676300578
O00299,1095.956909179688,0.0
O00303,63.85465240478516,68.20809248554913
O00339,151.3544616699219,8.092485549132949
O00391,1498.384521484375,0.0
O00410,77.13019943237305,19.460500963391137
O00429,121.50300216674805,17.91907514450867
O00442,59.73896408081055,61.657032755298644
O00453,92.1906967163086,78.61271676300578
O00461,502.3157653808594,0.0
O00468,1182.212158203125,0.0
O00471,64.33273315429688,85.35645472061657
O00483,130.0630035400391,71.67630057803468
O00487,228.64986419677734,13.294797687861271
O00499,69.24992370605469,97.10982658959537
O00505,93.87794494628906,79.38342967244701
O00522,64.62181663513184,96.53179190751445
O00533,512.33203125,0.0
O00560,714.1918029785156,2.119460500963391
O00571,83.00851821899414,40.26974951830443
O00585,229.33586120605463,45.664739884393065
O00587,73.66194152832031,65.89595375722543
O00592,7486.0146484375,0.0
O00602,354.0509033203125,10.01926782273603
O00622,122.1717987060547,52.02312138728323
O00629,173.07933807373047,52.601156069364166
O00743,188.55851745605463,35.64547206165704
O00748,42.828453063964844,64.16184971098265
O14498,269.6994934082031,7.7071290944123305
O14523,31.877832412719727,83.8150289017341
O14558,76.23451232910156,62.813102119460495
O14579,78.67343521118164,68.40077071290945
O14594,3064.042724609375,0.0
O14602;P47813,195.302963256836,7.321772639691715
O14617,160.04302215576175,51.445086705202314
O14618,168.45374298095703,48.747591522158
O14645,2696.3746337890625,6.74373795761079
O14646;O14647,1634.305541992188,68.20809248554913
O14656,94.2434196472168,19.07514450867052
O14672,315.5715637207031,0.5780346820809248
O14717,427.3464965820313,43.54527938342967
O14727,65.91637420654297,92.10019267822736
O14732,62.94101524353027,70.32755298651252
O14735,130.761962890625,89.98073217726397
O14737,146.3441314697266,53.179190751445084
O14744,142.38217163085935,36.80154142581888
O14745,278.8370971679688,0.5780346820809248
O14773,249.33106994628912,21.772639691714836
O14775,159.7841339111328,84.20038535645472
O14786,18127.203125,0.0
O14787,20.22142601013184,93.44894026974951
O14791,42292.640625,0.0
O14818,381.0867309570313,1.5414258188824663
O14880,88.77848815917969,95.18304431599229
O14920,48.572593688964844,92.29287090558766
O14950;P19105,700.2354125976562,0.7707129094412332
O14960,3484.34521484375,0.0
O14964,82.98328399658203,55.29865125240848
O14974,101.5726547241211,54.91329479768786
