"Variable","Raw_token","Freq"
"Sheet1_position","1",1
"Sheet1_position","10",1
"Sheet1_position","100",1
"Sheet1_position","101",1
"Sheet1_position","102",1
"Sheet1_position","103",1
"Sheet1_position","104",1
"Sheet1_position","105",1
"Sheet1_position","106",1
"Sheet1_position","107",1
"Sheet1_position","108",1
"Sheet1_position","109",1
"Sheet1_position","11",1
"Sheet1_position","110",1
"Sheet1_position","111",1
"Sheet1_position","112",1
"Sheet1_position","113",1
"Sheet1_position","114",1
"Sheet1_position","115",1
"Sheet1_position","116",1
"Sheet1_position","117",1
"Sheet1_position","118",1
"Sheet1_position","119",1
"Sheet1_position","12",1
"Sheet1_position","120",1
"Sheet1_position","121",1
"Sheet1_position","122",1
"Sheet1_position","123",1
"Sheet1_position","124",1
"Sheet1_position","125",1
"Sheet1_position","126",1
"Sheet1_position","127",1
"Sheet1_position","128",1
"Sheet1_position","129",1
"Sheet1_position","13",1
"Sheet1_position","130",1
"Sheet1_position","131",1
"Sheet1_position","132",1
"Sheet1_position","133",1
"Sheet1_position","134",1
"Sheet1_position","135",1
"Sheet1_position","136",1
"Sheet1_position","137",1
"Sheet1_position","138",1
"Sheet1_position","139",1
"Sheet1_position","14",1
"Sheet1_position","140",1
"Sheet1_position","141",1
"Sheet1_position","142",1
"Sheet1_position","143",1
"Sheet1_position","144",1
"Sheet1_position","145",1
"Sheet1_position","146",1
"Sheet1_position","147",1
"Sheet1_position","148",1
"Sheet1_position","149",1
"Sheet1_position","15",1
"Sheet1_position","150",1
"Sheet1_position","151",1
"Sheet1_position","152",1
"Sheet1_position","153",1
"Sheet1_position","154",1
"Sheet1_position","155",1
"Sheet1_position","156",1
"Sheet1_position","157",1
"Sheet1_position","158",1
"Sheet1_position","159",1
"Sheet1_position","16",1
"Sheet1_position","160",1
"Sheet1_position","161",1
"Sheet1_position","162",1
"Sheet1_position","163",1
"Sheet1_position","164",1
"Sheet1_position","165",1
"Sheet1_position","166",1
"Sheet1_position","167",1
"Sheet1_position","168",1
"Sheet1_position","169",1
"Sheet1_position","17",1
"Sheet1_position","170",1
"Sheet1_position","171",1
"Sheet1_position","172",1
"Sheet1_position","173",1
"Sheet1_position","174",1
"Sheet1_position","175",1
"Sheet1_position","176",1
"Sheet1_position","177",1
"Sheet1_position","178",1
"Sheet1_position","179",1
"Sheet1_position","18",1
"Sheet1_position","180",1
"Sheet1_position","181",1
"Sheet1_position","182",1
"Sheet1_position","183",1
"Sheet1_position","184",1
"Sheet1_position","185",1
"Sheet1_position","186",1
"Sheet1_position","187",1
"Sheet1_position","188",1
"Sheet1_position","189",1
"Sheet1_position","19",1
"Sheet1_position","190",1
"Sheet1_position","191",1
"Sheet1_position","192",1
"Sheet1_position","193",1
"Sheet1_position","194",1
"Sheet1_position","195",1
"Sheet1_position","196",1
"Sheet1_position","197",1
"Sheet1_position","198",1
"Sheet1_position","199",1
"Sheet1_position","2",1
"Sheet1_position","20",1
"Sheet1_position","200",1
"Sheet1_position","201",1
"Sheet1_position","202",1
"Sheet1_position","203",1
"Sheet1_position","204",1
"Sheet1_position","205",1
"Sheet1_position","206",1
"Sheet1_position","207",1
"Sheet1_position","208",1
"Sheet1_position","209",1
"Sheet1_position","21",1
"Sheet1_position","210",1
"Sheet1_position","211",1
"Sheet1_position","212",1
"Sheet1_position","213",1
"Sheet1_position","214",1
"Sheet1_position","215",1
"Sheet1_position","216",1
"Sheet1_position","217",1
"Sheet1_position","218",1
"Sheet1_position","219",1
"Sheet1_position","22",1
"Sheet1_position","220",1
"Sheet1_position","221",1
"Sheet1_position","222",1
"Sheet1_position","223",1
"Sheet1_position","224",1
"Sheet1_position","225",1
"Sheet1_position","226",1
"Sheet1_position","227",1
"Sheet1_position","228",1
"Sheet1_position","229",1
"Sheet1_position","23",1
"Sheet1_position","230",1
"Sheet1_position","231",1
"Sheet1_position","232",1
"Sheet1_position","233",1
"Sheet1_position","234",1
"Sheet1_position","235",1
"Sheet1_position","236",1
"Sheet1_position","237",1
"Sheet1_position","238",1
"Sheet1_position","239",1
"Sheet1_position","24",1
"Sheet1_position","240",1
"Sheet1_position","241",1
"Sheet1_position","242",1
"Sheet1_position","243",1
"Sheet1_position","244",1
"Sheet1_position","245",1
"Sheet1_position","246",1
"Sheet1_position","247",1
"Sheet1_position","248",1
"Sheet1_position","249",1
"Sheet1_position","25",1
"Sheet1_position","250",1
"Sheet1_position","251",1
"Sheet1_position","252",1
"Sheet1_position","253",1
"Sheet1_position","254",1
"Sheet1_position","255",1
"Sheet1_position","256",1
"Sheet1_position","257",1
"Sheet1_position","258",1
"Sheet1_position","259",1
"Sheet1_position","26",1
"Sheet1_position","260",1
"Sheet1_position","261",1
"Sheet1_position","262",1
"Sheet1_position","263",1
"Sheet1_position","264",1
"Sheet1_position","265",1
"Sheet1_position","266",1
"Sheet1_position","267",1
"Sheet1_position","268",1
"Sheet1_position","269",1
"Sheet1_position","27",1
"Sheet1_position","270",1
"Sheet1_position","271",1
"Sheet1_position","272",1
"Sheet1_position","273",1
"Sheet1_position","274",1
"Sheet1_position","275",1
"Sheet1_position","276",1
"Sheet1_position","277",1
"Sheet1_position","278",1
"Sheet1_position","279",1
"Sheet1_position","28",1
"Sheet1_position","280",1
"Sheet1_position","281",1
"Sheet1_position","282",1
"Sheet1_position","283",1
"Sheet1_position","284",1
"Sheet1_position","285",1
"Sheet1_position","286",1
"Sheet1_position","287",1
"Sheet1_position","288",1
"Sheet1_position","289",1
"Sheet1_position","29",1
"Sheet1_position","290",1
"Sheet1_position","291",1
"Sheet1_position","292",1
"Sheet1_position","293",1
"Sheet1_position","294",1
"Sheet1_position","295",1
"Sheet1_position","296",1
"Sheet1_position","297",1
"Sheet1_position","298",1
"Sheet1_position","299",1
"Sheet1_position","3",1
"Sheet1_position","30",1
"Sheet1_position","300",1
"Sheet1_position","301",1
"Sheet1_position","302",1
"Sheet1_position","303",1
"Sheet1_position","304",1
"Sheet1_position","305",1
"Sheet1_position","306",1
"Sheet1_position","307",1
"Sheet1_position","308",1
"Sheet1_position","309",1
"Sheet1_position","31",1
"Sheet1_position","310",1
