"PG.ProteinGroups","Contrast","logFC","AveExpr","t","P.Value","adj.P.Val","B","Significant_FDR_0.05","SE_moderated","DF_total","CI_high","CI_low","CI_status","Significance","Effect_rank","Protein_label"
"Q8TC71","High_vs_Control",-0.565231326250764,12.7714126731029,-4.01751729447291,6.93290425119208e-05,0.0994178469620944,1.13519123053657,FALSE,0.140691697090733,433.586669375703,-0.288708787590608,-0.84175386491092,"moderated_fit_95pct_CI","Not significant",3,"Q8TC71"
"O14594","High_vs_Control",-0.304949367016993,11.5404132603241,-3.83288981866605,0.000142192574191309,0.101952075695168,0.668033251050918,FALSE,0.0795612139780017,518.586669375703,-0.148647464344455,-0.461251269689531,"moderated_fit_95pct_CI","Not significant",30,"O14594"
"O14786","High_vs_Control",-0.224368360956033,14.1057122819407,-3.20381055096311,0.00143960212992833,0.225628573518908,-1.19826350850414,FALSE,0.0700317192252785,518.586669375703,-0.0867876175882087,-0.361949104323857,"moderated_fit_95pct_CI","Not significant",115,"O14786"
"P00738","High_vs_Control",0.760874397429106,14.4818798965806,3.50311452964698,0.000499589516845716,0.225628573518908,-0.34973403035472,FALSE,0.217199406696469,518.586669375703,1.1875732727805,0.334175522077716,"moderated_fit_95pct_CI","Not significant",1434,"P00738"
"P13591","High_vs_Control",-0.277618389303706,13.0415600066814,-3.17761787904756,0.00157342101477621,0.225628573518908,-1.26908141897995,FALSE,0.0873668263054077,518.586669375703,-0.105981978806349,-0.449254799801063,"moderated_fit_95pct_CI","Not significant",45,"P13591"
"P16112","High_vs_Control",-0.350039328976735,10.6192276016162,-3.24269707452609,0.00126023199177128,0.225628573518908,-1.0921003443307,FALSE,0.107946971589349,518.586669375703,-0.137972214819592,-0.562106443133878,"moderated_fit_95pct_CI","Not significant",13,"P16112"
"P18827","High_vs_Control",-0.319908514619346,12.3310194637787,-3.20510795418412,0.00143358288416394,0.225628573518908,-1.19524056777918,FALSE,0.099812087203403,516.586669375703,-0.123821003511356,-0.515996025727336,"moderated_fit_95pct_CI","Not significant",22,"P18827"
"Q5VU65","High_vs_Control",0.699956436263795,11.1033428096121,3.23572402083147,0.00130152350066711,0.225628573518908,-1.14350715640764,FALSE,0.216321426598035,456.586669375703,1.12506550967235,0.274847362855245,"moderated_fit_95pct_CI","Not significant",1433,"Q5VU65"
"Q92696","High_vs_Control",-0.348047611081562,9.20255972567773,-3.28936792545713,0.00107831452403818,0.225628573518908,-0.984075917532674,FALSE,0.10580987562624,477.586669375703,-0.140137174392059,-0.555958047771065,"moderated_fit_95pct_CI","Not significant",14,"Q92696"
"Q9UKM7","High_vs_Control",-0.280080360370711,9.59108330370966,-3.2439968837799,0.00125461023803514,0.225628573518908,-1.08853063991094,FALSE,0.0863380485262248,518.586669375703,-0.11046503422179,-0.449695686519632,"moderated_fit_95pct_CI","Not significant",43,"Q9UKM7"
"A0A0C4DH34","High_vs_Control",0.507863422244474,9.26274418042485,2.91428847077695,0.00373199689084719,0.258327744071429,-1.96279307950228,FALSE,0.174266695743088,478.586669375703,0.850285830971707,0.165441013517241,"moderated_fit_95pct_CI","Not significant",1426,"A0A0C4DH34"
"O60704","High_vs_Control",-0.283785306346369,8.00567400083972,-3.0324128088406,0.0025501390266595,0.258327744071429,-1.65646977164322,FALSE,0.0935839953976682,507.586669375703,-0.0999256420176317,-0.467644970675106,"moderated_fit_95pct_CI","Not significant",40,"O60704"
